user_id,listeningPersonality
45e5f83f-8e2d-40a3-af1f-8f34df38927b,The Time Traveler
eadaa014-cd0e-430e-9c75-8be4396a4ecc,The Fanclubber
c9d43fd6-b2cc-4b3b-86d2-8480096f0179,The Voyager
b94a2bbb-d00b-4108-ab85-58229f3853d1,The Specialist
849d972c-7a52-48af-a1de-c485e5c06607,The Deep Diver
a784a7cf-3810-4ed1-8756-a34e8b8c1ade,The Maverick
f880cfa9-49ce-413a-bbab-957cdeb757b2,The Specialist
4299bb43-4245-4c4b-b5e3-670fa0b4aa68,The Musicologist
f9e9acf9-9cb0-454b-b05a-184fb6af6a83,The Voyager
c386b52e-92b9-4321-8e49-12df891fe8a8,The Jukeboxer
c99ef5d8-59f8-4ecd-8ff1-5be7601acda0,The Replayer
8f86cc7c-6242-429c-aa14-72f088257b2d,The Fanclubber
264ad25a-e6ed-428a-8af2-c126de9ec47c,The Devotee
b659bef3-6db4-4f47-b72e-4dc62ba31ad7,The Adventurer
456277e8-4fad-4c3f-8f85-4aa16f3e40ef,The Specialist
01d0e234-f6a0-426d-829a-71abebbe6baa,The Deep Diver
77d68c3b-81bb-4e65-b74e-362b31145c56,The Devotee
249679f3-bfde-4d01-9035-46a8adee5b29,The Early Adopter
83b83e89-f180-41d2-8849-8f48d252d64c,The Top Charter
8272d270-470e-4451-8c58-6fd6832e11c0,The Specialist
8af2822f-851d-463c-b6d6-563f3effa66e,The Jukeboxer
1897c35b-7b6e-44bb-80a4-0a2b6edc5e24,The Musicologist
840cb706-d6f8-48b7-bed2-53f493955954,The Maverick
4da1ecdf-00c9-4138-87c5-9c0d06322c8f,The Time Traveler
91458af9-d657-4d22-a183-c101a62c7c43,The Top Charter
a8a86ecc-5035-44cc-9f34-007ab032e6a0,The Enthusiast
7c11d178-9607-4fd8-87c2-ad60b28bac52,The Adventurer
af53a3cd-1e86-459b-8173-4f969e467157,The Specialist
e0af6952-c3aa-4d1b-84ec-aed4cdf9630f,The Time Traveler
eae8a849-e095-45af-840f-7b73a987edbf,The Maverick
2168723d-64a1-4955-9f64-3a799da07bb9,The Fanclubber
30b55ed2-4265-4e4c-b10a-acbfc08395a4,The Fanclubber
a5c3bcb1-be5e-4533-a5ed-8b3c382c7bd1,The Jukeboxer
08eb4705-0cdc-4711-af50-c3cb08ea04a5,The Replayer
33a4a369-40e2-42af-afa5-44bd440e3b3f,The Nomad
31eb4d9e-6bb6-4c57-ab9e-59085184c090,The Nomad
754d4654-24a7-4162-b41e-e581ba80182c,The Devotee
2f1b7342-9ca6-4d9e-8d86-0394f3c60e00,The Maverick
d86cdb53-6f00-438c-aa97-08294ec260b4,The Jukeboxer
40e679d1-9376-4376-8cfd-1dbee50a2ce6,The Deep Diver
013e2492-5840-4aaa-8bcc-adb9a2823e80,The Early Adopter
98e3877b-8019-4e45-9409-743beca454a0,The Enthusiast
05178771-b584-4604-ad07-315d55c53216,The Fanclubber
50dd8086-7bad-4fed-9d22-c2695b3840f8,The Early Adopter
4b183cbc-05a3-4381-b42b-234bf3cf5db3,The Devotee
52203128-1395-470e-9c27-3c16a9392b1e,The Voyager
520581b1-7d30-4bac-98ab-394bf3447d18,The Voyager
461e4a6f-8b51-4486-a9f5-cdcf5df306ae,The Devotee
ab9243b6-3b9d-4ad5-9ee8-03f75535b4fe,The Jukeboxer
af8ee3c5-2529-4cf6-b5ea-fe65eef63853,The Deep Diver
897848b3-a7fc-4267-8984-8c3cbd3fdd76,The Enthusiast
8f90b37a-0e99-49b9-abb4-3a99349f0fc3,The Early Adopter
e8714996-d8e0-4f5f-ba01-eb1e9221f93c,The Voyager
ff99383e-cf28-4b55-8b87-834906ae09ec,The Time Traveler
93915294-6432-4128-b3fd-90c69370b5dd,The Nomad
f502add5-4662-488e-8c43-f4e320fe51b2,The Adventurer
776f832e-1d7d-4679-85b1-2cff29bf2220,The Enthusiast
ef73bc36-1901-45dd-9072-808570cc9c49,The Fanclubber
c1cb1183-24ff-4361-b5e6-50069e041b3a,The Fanclubber
e6e0180e-0bae-4b0d-8c44-3316b5c4372e,The Specialist
164300ee-5342-4cd3-b1ef-c8d01a5ecec3,The Early Adopter
61c871d2-a26c-4a8c-82ec-9dc33520c45b,The Musicologist
ba9906fc-2c8d-4953-b8fe-d3760646b2cf,The Deep Diver
4c024890-d302-40d4-be03-cfcd49bdf203,The Adventurer
2949c333-6a9a-4919-ba34-881a001ea4cf,The Deep Diver
016f2f8f-9ac4-4f72-a235-8f5ae03ef147,The Replayer
eddc6d41-a31d-45e0-bfdd-0d61afc92972,The Musicologist
adea01b8-972d-4edc-9663-f4144c918c39,The Voyager
e0ed971c-9a22-4699-8efa-b172eea40bf9,The Early Adopter
ad1ac50a-06ff-432f-8e07-108aa5dfe0f6,The Replayer
8dc6cd25-b8cc-4f5b-b87b-e507823408d8,The Maverick
5c1c62d2-7a6b-4331-8bd3-201cab898ee4,The Jukeboxer
f4199cb9-3bd4-4f28-bc28-231aedd5fc9f,The Specialist
